Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2017-04-26 00:00:00-04:00,57.1502685546875,57.1502685546875,57.1502685546875,57.1502685546875,5,0.0,0.0,0.0
2017-04-27 00:00:00-04:00,60.27971649169922,60.27971649169922,60.27971649169922,60.27971649169922,25,0.0,0.0,0.0
2017-04-28 00:00:00-04:00,60.27971649169922,60.27971649169922,60.27971649169922,60.27971649169922,0,0.0,0.0,0.0
2017-05-01 00:00:00-04:00,60.27971649169922,60.27971649169922,60.27971649169922,60.27971649169922,0,0.0,0.0,0.0
2017-05-02 00:00:00-04:00,60.27971649169922,60.27971649169922,60.27971649169922,60.27971649169922,0,0.0,0.0,0.0
2017-05-03 00:00:00-04:00,60.27971649169922,60.27971649169922,60.27971649169922,60.27971649169922,0,0.0,0.0,0.0
2017-05-04 00:00:00-04:00,57.82087962904852,58.16859817504883,57.82087962904852,58.16859817504883,75,0.0,0.0,0.0
2017-05-05 00:00:00-04:00,57.227259846017816,57.622169494628906,57.227259846017816,57.622169494628906,15,0.0,0.0,0.0
2017-05-08 00:00:00-04:00,57.622169494628906,57.622169494628906,57.622169494628906,57.622169494628906,0,0.0,0.0,0.0
2017-05-09 00:00:00-04:00,57.622169494628906,57.622169494628906,57.622169494628906,57.622169494628906,0,0.0,0.0,0.0
2017-05-10 00:00:00-04:00,57.622169494628906,57.622169494628906,57.622169494628906,57.622169494628906,0,0.0,0.0,0.0
2017-05-11 00:00:00-04:00,59.708492279052734,59.708492279052734,59.708492279052734,59.708492279052734,20,0.0,0.0,0.0
2017-05-12 00:00:00-04:00,59.708492279052734,59.708492279052734,59.708492279052734,59.708492279052734,0,0.0,0.0,0.0
2017-05-15 00:00:00-04:00,59.708492279052734,59.708492279052734,59.708492279052734,59.708492279052734,0,0.0,0.0,0.0
2017-05-16 00:00:00-04:00,60.29215621948242,60.29215621948242,60.29215621948242,60.29215621948242,10,0.0,0.0,0.0
2017-05-17 00:00:00-04:00,60.64983416656555,60.64983416656555,60.5032958984375,60.5032958984375,25,0.0,0.0,0.0
2017-05-18 00:00:00-04:00,60.565345764160156,60.565345764160156,60.565345764160156,60.565345764160156,5,0.0,0.0,0.0
2017-05-19 00:00:00-04:00,61.335323333740234,61.335323333740234,61.335323333740234,61.335323333740234,5,0.0,0.0,0.0
2017-05-22 00:00:00-04:00,61.68303680419922,61.68303680419922,61.68303680419922,61.68303680419922,5,0.0,0.0,0.0
2017-05-23 00:00:00-04:00,61.68303680419922,61.68303680419922,61.68303680419922,61.68303680419922,0,0.0,0.0,0.0
2017-05-24 00:00:00-04:00,61.68303680419922,61.68303680419922,61.68303680419922,61.68303680419922,0,0.0,0.0,0.0
2017-05-25 00:00:00-04:00,59.981702646933314,60.10588836669922,59.981702646933314,60.10588836669922,55,0.0,0.0,0.0
2017-05-26 00:00:00-04:00,61.124202728271484,61.124202728271484,61.124202728271484,61.124202728271484,50,0.0,0.0,0.0
