Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-03-19 00:00:00-04:00,13.102543172583117,15.19454586400395,12.111594529278511,12.441910743713379,708486000,0.0,0.0
2008-03-20 00:00:00-04:00,12.860311928320103,14.313702970887487,12.662121858862006,14.170565605163574,198985200,0.0,0.0
2008-03-24 00:00:00-04:00,14.80697223102273,14.908268987216598,12.992435892105568,13.153189659118652,149566400,0.0,0.0
2008-03-25 00:00:00-04:00,13.340372668818954,14.148546022859959,13.17301196528699,13.928335189819336,87092000,0.0,0.0
2008-03-26 00:00:00-04:00,13.813824218696071,14.199193982041901,13.558379708847541,14.084683418273926,43111600,0.0,0.0
2008-03-27 00:00:00-04:00,14.104504222772896,14.25644855182853,13.796208727178762,13.853463172912598,39829600,0.0,0.0
2008-03-28 00:00:00-04:00,13.954763342598683,13.970178037119604,13.68830837726522,13.8204345703125,24675200,0.0,0.0
2008-03-31 00:00:00-04:00,13.785197617163751,13.97898338270652,13.664081828713641,13.73234748840332,22157200,0.0,0.0
2008-04-01 00:00:00-04:00,13.886491180017968,14.02302161946837,13.28091157466731,13.567185401916504,60410800,0.0,0.0
2008-04-02 00:00:00-04:00,13.591410352197906,13.723536491394043,13.322752917123253,13.723536491394043,43836400,0.0,0.0
2008-04-03 00:00:00-04:00,13.642060790011678,14.597775805041724,13.61343314752333,14.423809051513672,100868000,0.0,0.0
2008-04-04 00:00:00-04:00,14.291685932208852,14.384174095252666,14.038443093333592,14.199197769165039,36394400,0.0,0.0
2008-04-07 00:00:00-04:00,14.335723784308392,14.489872363539783,14.097895699831524,14.322511672973633,28301600,0.0,0.0
2008-04-08 00:00:00-04:00,14.291681691797388,15.02718497978834,14.271861845554001,14.994153022766113,53925600,0.0,0.0
2008-04-09 00:00:00-04:00,15.071231925827222,15.132890698346182,14.448034783441724,14.487672805786133,48324400,0.0,0.0
2008-04-10 00:00:00-04:00,14.56914719825523,14.694667285878964,14.33792518838648,14.558135986328125,22372000,0.0,0.0
2008-04-11 00:00:00-04:00,14.368754565692305,14.70347423933058,14.368754565692305,14.558135986328125,26421600,0.0,0.0
2008-04-14 00:00:00-04:00,14.688063818075209,14.806977885121409,14.430417512846212,14.463449478149414,28443600,0.0,0.0
