Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1990-01-02 00:00:00-05:00,3.6956724983453753,3.7419841837882997,3.649360812902451,3.70493483543396,5326000,0.0,0.0
1990-01-03 00:00:00-05:00,3.695674475395318,3.7049368174389157,3.6401004231337346,3.6678874492645264,4980400,0.0,0.0
1990-01-04 00:00:00-05:00,3.6586249422053907,3.6771496254570635,3.5937885508245353,3.630837917327881,6013200,0.0,0.0
1990-01-05 00:00:00-05:00,3.630837714366424,3.6493623965825788,3.584526008826036,3.6123130321502686,3854800,0.0,0.0
1990-01-08 00:00:00-05:00,3.6123133970029424,3.686412133351721,3.6030510549593453,3.6678874492645264,4302000,0.0,0.0
1990-01-09 00:00:00-05:00,3.667884438308244,3.6771467727484164,3.5937857627868652,3.5937857627868652,3485600,0.0,0.0
1990-01-10 00:00:00-05:00,3.5937883499341132,3.621575373258346,3.575263667717958,3.6123130321502686,4522400,0.0,0.0
1990-01-11 00:00:00-05:00,3.6401002589537175,3.6586249422053907,3.6215755757020447,3.630837917327881,3047600,0.0,0.0
1990-01-12 00:00:00-05:00,3.5752628473711265,3.6030498643196065,3.5289511524569925,3.5382134914398193,4554400,0.0,0.0
1990-01-15 00:00:00-05:00,3.5289506062056666,3.5937869690493405,3.5104259311074744,3.584524631500244,3692800,0.0,0.0
1990-01-16 00:00:00-05:00,3.5382127353123254,3.5752620833260673,3.519688061305455,3.565999746322632,4857200,0.0,0.0
1990-01-17 00:00:00-05:00,3.575262409401443,3.5845247472496333,3.4826390309195405,3.5104260444641113,4110800,0.0,0.0
1990-01-18 00:00:00-05:00,3.482639193534851,3.5567378997802734,3.482639193534851,3.5567378997802734,5460800,0.0,0.0
1990-01-19 00:00:00-05:00,3.5659987485194264,3.621572754989859,3.5567364141076876,3.603048086166382,7506400,0.0,0.0
1990-01-22 00:00:00-05:00,3.603049467852775,3.6308364817436702,3.4733767363619297,3.4826390743255615,4272800,0.0,0.0
1990-01-23 00:00:00-05:00,3.4919025897979736,3.566001318493952,3.4733779076239792,3.4919025897979736,5108400,0.0,0.0
1990-01-24 00:00:00-05:00,3.4270650465437704,3.5104260882164566,3.4085403706165067,3.4826390743255615,4892000,0.0,0.0
1990-01-25 00:00:00-05:00,3.5011609313280685,3.510423261834227,3.3807506347480025,3.4085376262664795,5222400,0.0,0.0
1990-01-26 00:00:00-05:00,3.408540868504162,3.473377243720274,3.390016189870987,3.4641149044036865,5223600,0.0,0.0
1990-01-29 00:00:00-05:00,3.4826390743255615,3.5104260882164566,3.399278032652875,3.4826390743255615,5181200,0.0,0.0
1990-01-30 00:00:00-05:00,3.4826390743255615,3.5104260882164566,3.4363273845074023,3.4826390743255615,5415600,0.0,0.0
1990-01-31 00:00:00-05:00,3.4826390743255615,3.5011637502528252,3.464114398398298,3.4826390743255615,5377200,0.0,0.0
1990-02-01 00:00:00-05:00,3.5011637502528252,3.5104260882164566,3.4826390743255615,3.4826390743255615,2903200,0.0,0.0
1990-02-02 00:00:00-05:00,3.491901546483252,3.5474755764007573,3.4826392081636675,3.547475576400757,4246400,0.0,0.0
1990-02-05 00:00:00-05:00,3.5567378997802734,3.584524914622307,3.5474755614995956,3.5567378997802734,5880400,0.0,0.0
1990-02-06 00:00:00-05:00,3.554861980140525,3.564241563201582,3.470445732591014,3.5454823970794678,4739600,0.15,0.0
1990-02-07 00:00:00-05:00,3.526723245779673,3.601759910583496,3.5079640795787173,3.601759910583496,4108800,0.0,0.0
1990-02-08 00:00:00-05:00,3.6205186410383745,3.676796132867987,3.5830003131519668,3.6111390590667725,5632800,0.0,0.0
1990-02-09 00:00:00-05:00,3.6205182075500484,3.6486569500957744,3.5829998841557478,3.620518207550049,3376000,0.0,0.0
1990-02-12 00:00:00-05:00,3.6111408962178926,3.6111408962178926,3.536104202270508,3.536104202270508,2677200,0.0,0.0
1990-02-13 00:00:00-05:00,3.545482397079468,3.564241563201582,3.4985844817741842,3.5454823970794678,3548800,0.0,0.0
1990-02-14 00:00:00-05:00,3.5642414777836904,3.5736210606199634,3.5079639807660534,3.5267231464385986,2819200,0.0,0.0
1990-02-15 00:00:00-05:00,3.5267222542123693,3.639277219772339,3.5173426737490385,3.639277219772339,4034800,0.0,0.0
1990-02-16 00:00:00-05:00,3.648657826085885,3.6861761584877963,3.601759910583496,3.601759910583496,7142000,0.0,0.0
1990-02-20 00:00:00-05:00,3.564241366524809,3.5736209490682955,3.5267230363508637,3.5548617839813232,4055600,0.0,0.0
1990-02-21 00:00:00-05:00,3.4892036257766366,3.592379001807666,3.4892036257766366,3.573619842529297,4254800,0.0,0.0
1990-02-22 00:00:00-05:00,3.5830021359876234,3.6111408962178926,3.536104202270508,3.536104202270508,4990400,0.0,0.0
1990-02-23 00:00:00-05:00,3.5267246155270846,3.5830021359876234,3.517345028783662,3.536104202270508,4040000,0.0,0.0
1990-02-26 00:00:00-05:00,3.5361019799128712,3.629897788398624,3.5361019799128712,3.620518207550049,4679600,0.0,0.0
1990-02-27 00:00:00-05:00,3.6111391453163875,3.6392778919032684,3.5830003987295065,3.6298983097076416,4600400,0.0,0.0
1990-02-28 00:00:00-05:00,3.4798252322572347,3.583000643456236,3.4798252322572347,3.5267231464385986,10018800,0.0,0.0
1990-03-01 00:00:00-05:00,3.5079645290169665,3.53610328192352,3.4892053604125977,3.4892053604125977,5598000,0.0,0.0
1990-03-02 00:00:00-05:00,3.4892056791540136,3.5361036049490946,3.4892056791540136,3.507964849472046,5641200,0.0,0.0
1990-03-05 00:00:00-05:00,3.507963964101431,3.5267231296848607,3.4704456329345708,3.4704456329345703,4529200,0.0,0.0
1990-03-06 00:00:00-05:00,3.4704470950665463,3.545483789013931,3.4704470950665463,3.536104202270508,5130000,0.0,0.0
1990-03-07 00:00:00-05:00,3.53610328192352,3.53610328192352,3.479825776110413,3.4892053604125977,4805200,0.0,0.0
1990-03-08 00:00:00-05:00,3.4892056791540136,3.5173444346310623,3.4892056791540136,3.507964849472046,3212800,0.0,0.0
1990-03-09 00:00:00-05:00,3.5079649683600165,3.517344553836915,3.4798262119293213,3.4798262119293213,3900000,0.0,0.0
1990-03-12 00:00:00-05:00,3.4704461918082288,3.4892053604125977,3.4610666075060443,3.4892053604125977,2851600,0.0,0.0
1990-03-13 00:00:00-05:00,3.470445417378047,3.470445417378047,3.4141679241232676,3.4235475063323975,5583600,0.0,0.0
1990-03-14 00:00:00-05:00,3.4423074389016755,3.517344113319151,3.4329278545994915,3.4892053604125977,5833200,0.0,0.0
1990-03-15 00:00:00-05:00,3.4892059555053714,3.5361038850148523,3.4892059555053714,3.5173447132110596,2978800,0.0,0.0
1990-03-16 00:00:00-05:00,3.5642414093017583,3.5830005746138727,3.536102661333586,3.564241409301758,9566800,0.0,0.0
1990-03-19 00:00:00-05:00,3.5454822439896434,3.5736209919578155,3.526723078677529,3.564241409301758,2983600,0.0,0.0
1990-03-20 00:00:00-05:00,3.5454831901081105,3.5454831901081105,3.4892056791540136,3.507964849472046,5190800,0.0,0.0
1990-03-21 00:00:00-05:00,3.507963964101431,3.507963964101431,3.4704456329345708,3.4704456329345703,2505200,0.0,0.0
1990-03-22 00:00:00-05:00,3.451683759689331,3.4798224859911464,3.423545033387516,3.451683759689331,3557600,0.0,0.0
1990-03-23 00:00:00-05:00,3.4985831333046686,3.5267218716422395,3.4610648155212407,3.4610648155212402,3727200,0.0,0.0
1990-03-26 00:00:00-05:00,3.4892038986331126,3.5173426397511216,3.4329264163970947,3.4329264163970947,2858000,0.0,0.0
1990-03-27 00:00:00-05:00,3.4516872988948872,3.507964809202956,3.4329281287921978,3.4985852241516113,3551600,0.0,0.0
1990-03-28 00:00:00-05:00,3.4892047985180006,3.4985843813097155,3.4704456329345708,3.4704456329345703,2514000,0.0,0.0
1990-03-29 00:00:00-05:00,3.4610648155212407,3.4798239744129544,3.4329260771836694,3.4610648155212402,3324000,0.0,0.0
1990-03-30 00:00:00-05:00,3.4610660501428554,3.507963964101431,3.43292730176771,3.4704456329345703,3630800,0.0,0.0
1990-04-02 00:00:00-04:00,3.4423068845594256,3.4704456329345708,3.43292730176771,3.4704456329345703,3354000,0.0,0.0
1990-04-03 00:00:00-04:00,3.489206268553392,3.545483789013931,3.489206268553392,3.536104202270508,4485200,0.0,0.0
1990-04-04 00:00:00-04:00,3.53610328192352,3.53610328192352,3.479825776110413,3.4892053604125977,3123200,0.0,0.0
1990-04-05 00:00:00-04:00,3.4985843813097155,3.5173435468931458,3.4704456329345708,3.4704456329345703,3060000,0.0,0.0
1990-04-06 00:00:00-04:00,3.4610648155212407,3.4892035538588115,3.4516852360753836,3.4610648155212402,2679200,0.0,0.0
1990-04-09 00:00:00-04:00,3.451683759689331,3.4892020614250847,3.4423041842553928,3.451683759689331,3143600,0.0,0.0
1990-04-10 00:00:00-04:00,3.451683759689331,3.470442910557208,3.4329246088214544,3.451683759689331,4410800,0.0,0.0
1990-04-11 00:00:00-04:00,3.4329270885415277,3.4516862529597874,3.4141679241232676,3.4235475063323975,4396000,0.0,0.0
1990-04-12 00:00:00-04:00,3.4235468360244248,3.4610651575151037,3.4141672556517553,3.4329264163970947,3873600,0.0,0.0
1990-04-16 00:00:00-04:00,3.423547506332398,3.461065835168917,3.404788341914138,3.4235475063323975,4654000,0.0,0.0
1990-04-17 00:00:00-04:00,3.4141672556517553,3.4516855771424337,3.4047876752790858,3.4329264163970947,3534000,0.0,0.0
1990-04-18 00:00:00-04:00,3.4423073484347415,3.4423073484347415,3.4047890122120195,3.4141685962677,3840800,0.0,0.0
1990-04-19 00:00:00-04:00,3.395406307085701,3.46106333512327,3.395406307085701,3.451683759689331,4421600,0.0,0.0
1990-04-20 00:00:00-04:00,3.4423078700217276,3.48920579740622,3.4141691135910324,3.4798262119293213,7129600,0.0,0.0
1990-04-23 00:00:00-04:00,3.470444737887773,3.479824318260443,3.4235468360244248,3.4329264163970947,2988000,0.0,0.0
1990-04-24 00:00:00-04:00,3.432925029354201,3.442304605937136,3.386027146439526,3.395406723022461,2704000,0.0,0.0
1990-04-25 00:00:00-04:00,3.414165876188331,3.423545452771266,3.386027146439526,3.395406723022461,2605600,0.0,0.0
1990-04-26 00:00:00-04:00,3.404788341914138,3.423547506332398,3.386029177495878,3.4235475063323975,2621200,0.0,0.0
1990-04-27 00:00:00-04:00,3.4235463208622403,3.432925899823507,3.3672688470946417,3.376648426055908,4384400,0.0,0.0
1990-04-30 00:00:00-04:00,3.386027146439526,3.414165876188331,3.376647569856591,3.395406723022461,3222800,0.0,0.0
