Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1990-01-02 00:00:00-05:00,4.6547603415587595,4.748480319976807,4.6235199953871415,4.748480319976807,1304092,0.0,0.0
1990-01-03 00:00:00-05:00,4.748482392945922,4.758895728427244,4.701622206597094,4.7380690574646,1014986,0.0,0.0
1990-01-04 00:00:00-05:00,4.731758696367657,4.737016026036345,4.563518437910664,4.600320816040039,1331669,0.247314,0.0
1990-01-05 00:00:00-05:00,4.579290235583729,4.579290235583729,4.458367385884353,4.4951701164245605,1611435,0.0,0.0
1990-01-08 00:00:00-05:00,4.458369299802208,4.542489455073025,4.447854280393356,4.531974792480469,1051458,0.0,0.0
1990-01-09 00:00:00-05:00,4.521456542661757,4.531971912203903,4.39527638994882,4.405791759490967,1069694,0.0,0.0
1990-01-10 00:00:00-05:00,4.363729958774712,4.374245324960129,4.2585798650800895,4.290124893188477,1878747,0.0,0.0
1990-01-11 00:00:00-05:00,4.342703310470824,4.342703310470824,4.300642886989189,4.305900573730469,958054,0.0,0.0
1990-01-12 00:00:00-05:00,4.20600635913058,4.248066412017403,4.121886253356934,4.121886253356934,2612188,0.0,0.0
1990-01-15 00:00:00-05:00,4.121888749270371,4.163948827625692,4.106116398295277,4.137661457061768,906015,0.0,0.0
1990-01-16 00:00:00-05:00,4.121887161063617,4.190234940464041,4.121887161063617,4.179719924926758,1675483,0.0,0.0
1990-01-17 00:00:00-05:00,4.174461319465462,4.20074903092777,4.106113911932417,4.121886253356934,1606097,0.0,0.0
1990-01-18 00:00:00-05:00,4.064055190134885,4.121887965281731,4.064055190134885,4.111372947692871,2251472,0.0,0.0
1990-01-19 00:00:00-05:00,4.121885901746481,4.163945951045443,4.111370889421741,4.153430938720703,2162071,0.0,0.0
1990-01-22 00:00:00-05:00,4.111370110159541,4.14291514115477,3.9483876284255155,3.9641599655151367,1936124,0.0,0.0
1990-01-23 00:00:00-05:00,3.9957052568663216,4.0377653009338825,3.9536452127987607,4.027250289916992,1719071,0.0,0.0
1990-01-24 00:00:00-05:00,4.011478540218742,4.011478540218742,3.9536457927347115,3.9957058429718018,1288080,0.0,0.0
1990-01-25 00:00:00-05:00,4.0167382720508344,4.0167382720508344,3.979935884475708,3.979935884475708,1191563,0.0,0.0
1990-01-26 00:00:00-05:00,3.969419516133793,4.016737267544324,3.969419516133793,3.990449905395508,1518031,0.0,0.0
1990-01-29 00:00:00-05:00,4.000964641571045,4.037767377464968,3.9799349655381953,4.000964641571045,967395,0.0,0.0
1990-01-30 00:00:00-05:00,3.99570444675122,4.011477138486702,3.9694167461307286,3.985189437866211,936705,0.0,0.0
1990-01-31 00:00:00-05:00,4.000965084601726,4.111372947692871,3.9904504238291003,4.111372947692871,1048344,0.0,0.0
1990-02-01 00:00:00-05:00,4.132401067792101,4.153431093223876,4.111371042360325,4.127143383026123,1433523,0.0,0.0
1990-02-02 00:00:00-05:00,4.106114109958929,4.127143780600457,4.09559873941401,4.116629123687744,1490010,0.0,0.0
1990-02-05 00:00:00-05:00,4.085081993065988,4.090339318833331,4.043021959663566,4.048279285430908,744560,0.0,0.0
1990-02-06 00:00:00-05:00,4.006222301990268,4.01673731834602,3.9326171875,3.9326171875,954941,0.0,0.0
1990-02-07 00:00:00-05:00,3.88004128179754,3.9326163524120274,3.8695262676746425,3.901071310043335,1229370,0.0,0.0
1990-02-08 00:00:00-05:00,3.890555974593048,3.9115860011019388,3.8537536066105327,3.859010934829712,939374,0.0,0.0
1990-02-09 00:00:00-05:00,3.8695248076475175,3.9220998584246853,3.8432371038509427,3.895812511444092,831292,0.0,0.0
1990-02-12 00:00:00-05:00,3.8852996038478014,3.8958146196935153,3.85901188582543,3.874784231185913,652046,0.0,0.0
1990-02-13 00:00:00-05:00,3.8800409613386027,3.8800409613386027,3.8169508818119304,3.859010934829712,608458,0.0,0.0
1990-02-14 00:00:00-05:00,3.8537536066105327,3.895813659628314,3.8432382365400004,3.859010934829712,523505,0.0,0.0
1990-02-15 00:00:00-05:00,3.8379818541340027,3.890556933362571,3.8379818541340027,3.874784231185913,806385,0.0,0.0
1990-02-16 00:00:00-05:00,3.8853002162337273,3.890557546577137,3.8064374065527384,3.827467441558838,1008759,0.0,0.0
1990-02-20 00:00:00-05:00,3.7748900731191624,3.7748900731191624,3.6381949281756403,3.6697399616241455,1464658,0.0,0.0
1990-02-21 00:00:00-05:00,3.6171666328565943,3.6592266975357575,3.6171666328565943,3.648711681365967,1623444,0.0,0.0
1990-02-22 00:00:00-05:00,3.65922917237572,3.722319312064107,3.64345645904541,3.64345645904541,1465992,0.0,0.0
1990-02-23 00:00:00-05:00,3.6329371205219942,3.6855121744797654,3.6329371205219942,3.6539671421051025,939374,0.0,0.0
1990-02-26 00:00:00-05:00,3.653968335080734,3.701286077499389,3.653968335080734,3.7012860774993896,667169,0.0,0.0
1990-02-27 00:00:00-05:00,3.696028077629851,3.748603144281197,3.690770749372761,3.7380881309509277,1080369,0.0,0.0
1990-02-28 00:00:00-05:00,3.7275720244206267,3.8169497899237834,3.7275720244206267,3.780147075653076,691632,0.0,0.0
1990-03-01 00:00:00-05:00,3.780148232288169,3.8327236564234277,3.780148232288169,3.8222086429595947,862427,0.0,0.0
1990-03-02 00:00:00-05:00,3.843239746437586,3.848497433538445,3.8064373639964804,3.837982416152954,902012,0.0,0.0
1990-03-05 00:00:00-05:00,3.8379804713411962,3.8747828351335176,3.8222081316633574,3.8484954833984375,1123512,0.0,0.0
