Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2007-02-01 00:00:00-05:00,0.6365492343902588,0.6365492343902588,0.6365492343902588,0.6365492343902588,48000,0.0,0.0,0.0
2007-02-02 00:00:00-05:00,0.6479722857475281,0.6479722857475281,0.6479722857475281,0.6479722857475281,240000,0.0,0.0,0.0
2007-02-05 00:00:00-05:00,0.6611038639585862,0.6611038639585862,0.6529189242752406,0.656876266002655,278400,0.0,0.0,0.0
2007-02-06 00:00:00-05:00,0.6467122978203048,0.6507603260730715,0.6386171677312459,0.6505807042121887,249600,0.0,0.0,0.0
2007-02-07 00:00:00-05:00,0.6602948596043815,0.6714475750923157,0.6548074378363212,0.6714475750923157,345600,0.0,0.0,0.0
2007-02-08 00:00:00-05:00,0.6538187265396118,0.6538187265396118,0.6538187265396118,0.6538187265396118,96000,0.0,0.0,0.0
2007-02-09 00:00:00-05:00,0.676214894870578,0.676214894870578,0.6425753235816956,0.6425753235816956,892800,0.0,0.0,0.0
2007-02-12 00:00:00-05:00,0.6359186768531799,0.6359186768531799,0.6359186768531799,0.6359186768531799,9600,0.0,0.0,0.0
2007-02-13 00:00:00-05:00,0.6339404950284371,0.6339404950284371,0.63052196687471,0.6334008574485779,163200,0.0,0.0,0.0
2007-02-14 00:00:00-05:00,0.644913826409834,0.661914087772579,0.6435650666106391,0.6585853695869446,336000,0.0,0.0,0.0
2007-02-15 00:00:00-05:00,0.6639819787549518,0.6661407351493835,0.6639819787549518,0.6661407351493835,57600,0.0,0.0,0.0
2007-02-16 00:00:00-05:00,0.6632628501206945,0.66398210976605,0.6621835231781006,0.6621835231781006,1219200,0.0,0.0,0.0
2007-02-20 00:00:00-05:00,0.6459033431955703,0.6652418788253968,0.6459033431955703,0.6622732281684875,528000,0.0,0.0,0.0
2007-02-21 00:00:00-05:00,0.6508501777411524,0.6533689498901367,0.6508501777411524,0.6533689498901367,105600,0.0,0.0,0.0
2007-02-22 00:00:00-05:00,0.6807117986609634,0.6865584633121167,0.6752252526073692,0.6835008263587952,1372800,0.0,0.0,0.0
2007-02-23 00:00:00-05:00,0.688987639243089,0.692765360169651,0.6871881265118042,0.6891672611236572,595200,0.0,0.0,0.0
2007-02-26 00:00:00-05:00,0.687368525053159,0.687368525053159,0.680622103173502,0.685659646987915,230400,0.0,0.0,0.0
