category,floor,model_trades,model_entry_dates,model_mean,null_trades,null_mean,edge,block_se,naive_se,usable_blocks,t,p_one_sided,p_bonferroni_8,verdict
international_emerging,0.018749043597577356,102,79,0.10768069845436547,178,0.07623354417475879,0.031447154279606676,0.01840733907108145,0.0169679254434102,7,1.7084030537043353,0.04378079051815772,0.7004926482905235,"suggestive, not established"
small_cap,0.001288659793814433,97,31,0.0889796513016527,90,0.0522164833595286,0.03676316794212409,0.02753431083306534,0.01342811139212602,6,1.33517661527871,0.0909092742864877,1.0,"suggestive, not established"
"small_cap (config's rounded floor, not the derived rule)",0.001289,77,31,0.09829087748816659,90,0.0522164833595286,0.04607439412863799,0.0198017993646167,0.013097532885829249,6,2.3267781518363972,0.009988537912952735,0.15981660660724376,real edge over the null
