category,swing_threshold,fit_rows,calibration,calibration_positives,internal_ece,test_rows,test_base_rate,test_pr_auc,test_pr_auc_lift,test_roc_auc,test_ece,max_gap_vs_saved_model
credit_conditions,0.1,20483,none,7,0.018074146172833892,16544,0.03004110251450677,0.16285995358521294,5.421237569645398,0.8890724542932802,0.010689687436294181,2.220446049250313e-16
energy_commodity,0.25,28317,sigmoid,44,0.05009563581401229,15040,0.1483377659574468,0.1678420626830679,1.131485711677876,0.5571459010621839,0.1320904715735033,3.608224830031759e-16
growth_tech,0.5,71074,isotonic,513,0.007640134402583238,20304,0.0711682427107959,0.2639886077564879,3.7093596483652114,0.8228621213958771,0.04203062026380083,2.3828161666017422e-14
inflation_safe_haven,0.15,15972,none,0,0.04362480996649307,9776,0.14515139116202946,0.4247198708410616,2.926047538648498,0.8260459112189037,0.036886359109605374,2.220446049250313e-16
international_emerging,0.25,63636,isotonic,287,0.0065667559955356865,20304,0.036150512214342,0.10249993478339592,2.835366043381568,0.7740809210004191,0.027333298642563012,2.9698465908722937e-15
market_beta,0.15,42595,isotonic,846,0.016491761796229135,18048,0.10366799645390071,0.2679213500127685,2.5844171699788596,0.708246397821111,0.06603155742663344,2.353672812205332e-14
rates_recession,0.12,17844,isotonic,181,0.006863337571387962,10528,0.048062310030395135,0.22652156354749886,4.7130810692254315,0.8866375397051387,0.020880943732409157,1.0769163338864018e-14
small_cap,0.2,30858,isotonic,303,0.004504865076856103,11280,0.03874113475177305,0.2877768263937096,7.428198173274701,0.8967932363538593,0.03621279739807965,7.771561172376096e-15
